商品ID,賣家ID,商品名稱,商品連結,價格,星星趴數,歷史銷售量,商家地點
21125342344,2478934,廚具六件組 廚具 剪刀 削皮刀 打蛋器 開瓶器 餐具 套組 廚房用具  料理剪刀 廚房剪刀 廚房套組 廚具套組,https://shopee.tw/廚具六件組-廚具-剪刀-削皮刀-打蛋器-開瓶器-餐具-套組-廚房用具-料理剪刀-廚房剪刀-廚房套組-廚具套組-i.2478934.21125342344?sp_atk=2b4f70ab-cb0e-4fb2-9919-f0118a55102c&xptdk=2b4f70ab-cb0e-4fb2-9919-f0118a55102c,169.0,4.84,123.0,新北市汐止區
10037627962,2478934,12件套裝矽膠廚具 不沾鍋專用 不沾鍋廚具 廚具 煎鏟 鍋鏟 湯勺 廚房用具 廚具套組 烘焙料理 打蛋器 餐具 烘培用具,https://shopee.tw/12件套裝矽膠廚具-不沾鍋專用-不沾鍋廚具-廚具-煎鏟-鍋鏟-湯勺-廚房用具-廚具套組-烘焙料理-打蛋器-餐具-烘培用具-i.2478934.10037627962?sp_atk=88e852ef-abff-4367-8d43-b51826ddfb8a&xptdk=88e852ef-abff-4367-8d43-b51826ddfb8a,399.0,4.92,3738.0,新北市汐止區
11132881601,827516,304不銹鋼 一體成形廚具組【現貨附發票】鍋鏟 煎鏟 漏鏟 炒菜鏟 漏勺 湯勺 麵勺 不鏽鋼廚具 廚房用具 料理用具,https://shopee.tw/304不銹鋼-一體成形廚具組【現貨附發票】鍋鏟-煎鏟-漏鏟-炒菜鏟-漏勺-湯勺-麵勺-不鏽鋼廚具-廚房用具-料理用具-i.827516.11132881601?sp_atk=0edb5398-700f-425e-a7a9-b4095e4c691a&xptdk=0edb5398-700f-425e-a7a9-b4095e4c691a,149.0,4.94,54.0,高雄市鳳山區
17373359876,7529254,(代購)韓國LocknLock 廚房工具 樂扣 6件組 廚房 工具 矽膠 鍋鏟 灰色 多功能 廚具 鍋鏟,https://shopee.tw/(代購)韓國LocknLock-廚房工具-樂扣-6件組-廚房-工具-矽膠-鍋鏟-灰色-多功能-廚具-鍋鏟-i.7529254.17373359876?sp_atk=1189aec9-08c4-4c36-b9f9-060dad062950&xptdk=1189aec9-08c4-4c36-b9f9-060dad062950,1250.0,5.0,19.0,新竹縣竹東鎮
12686924261,1733624,【Origin】現貨！戶外廚具4入組/露營廚具/黑化廚具/湯勺/漏勺/鍋鏟/食物夾,https://shopee.tw/【Origin】現貨！戶外廚具4入組-露營廚具-黑化廚具-湯勺-漏勺-鍋鏟-食物夾-i.1733624.12686924261?sp_atk=335e6caa-34da-4993-a788-fbdae6dce62b&xptdk=335e6caa-34da-4993-a788-fbdae6dce62b,350.0,4.97,57.0,桃園市桃園區
17992212502,252178870,現貨 矽膠料理廚具3件組 不沾鍋廚具 煎鏟 鍋鏟 湯勺 木柄矽膠廚具3件組 矽膠鍋鏟 矽膠廚具 矽膠湯勺 矽膠鏟 廚具組,https://shopee.tw/現貨-矽膠料理廚具3件組-不沾鍋廚具-煎鏟-鍋鏟-湯勺-木柄矽膠廚具3件組-矽膠鍋鏟-矽膠廚具-矽膠湯勺-矽膠鏟-廚具組-i.252178870.17992212502?sp_atk=7997990a-d6eb-44ef-9787-240bda5ddf23&xptdk=7997990a-d6eb-44ef-9787-240bda5ddf23,379.0,5.0,20.0,桃園市八德區
5587826038,70387437,台灣現貨🔖德國工藝 矽膠鍋鏟 不沾鍋廚具 廚具 煎鏟 鍋鏟 湯勺 廚房用具 矽膠鏟 食品級 高耐熱 矽膠,https://shopee.tw/台灣現貨🔖德國工藝-矽膠鍋鏟-不沾鍋廚具-廚具-煎鏟-鍋鏟-湯勺-廚房用具-矽膠鏟-食品級-高耐熱-矽膠-i.70387437.5587826038?sp_atk=bd4c5d73-4aaa-42f2-9989-b42f41858d5c&xptdk=bd4c5d73-4aaa-42f2-9989-b42f41858d5c,149.0,4.93,359.0,高雄市鳳山區
18439800424,696815780,🤎Wonday 台灣現貨 耐熱硅膠廚具6件套 耐高溫食品級 不傷鍋烹飪 料理鍋鏟 加寬湯勺WondayLife一鍵生活,https://shopee.tw/🤎Wonday-台灣現貨-耐熱硅膠廚具6件套-耐高溫食品級-不傷鍋烹飪-料理鍋鏟-加寬湯勺WondayLife一鍵生活-i.696815780.18439800424?sp_atk=d1f770bc-a148-47b8-bf24-92880edc5b84&xptdk=d1f770bc-a148-47b8-bf24-92880edc5b84,99.0,5.0,41.0,新北市板橋區
12574533430,28969561,🔥拚全台最低價🔥矽膠廚具12件組  不沾鍋廚具組  廚具 煎鏟 鍋鏟 湯勺 廚房用具 烘焙料理 打蛋器 餐具 烘培用具,https://shopee.tw/🔥拚全台最低價🔥矽膠廚具12件組-不沾鍋廚具組-廚具-煎鏟-鍋鏟-湯勺-廚房用具-烘焙料理-打蛋器-餐具-烘培用具-i.28969561.12574533430?sp_atk=c7a9fa8a-003f-49ea-9d60-4c6953bfbd28&xptdk=c7a9fa8a-003f-49ea-9d60-4c6953bfbd28,359.0,4.96,657.0,臺南市南區
13701716777,5394263,🔥台灣24H出貨🔥99網購🏆矽膠廚具組配件/不沾鍋廚具/煎鏟/鍋鏟/廚房用具/打蛋器/食品級//烘培用具/無毒/木柄,https://shopee.tw/🔥台灣24H出貨🔥99網購🏆矽膠廚具組配件-不沾鍋廚具-煎鏟-鍋鏟-廚房用具-打蛋器-食品級-烘培用具-無毒-木柄-i.5394263.13701716777?sp_atk=a0eca67a-ce18-489b-94aa-a28d39b5fc36&xptdk=a0eca67a-ce18-489b-94aa-a28d39b5fc36,49.0,4.96,2225.0,新北市三重區
